Code,ENG,KOR,Latitude,Longitude
41360,Namyangju-si,남양주시,37.66107526745443,127.2355304958197
41370,Osan-si,오산시,37.16090763014204,127.05205854738321
41390,Siheung-si,시흥시,37.40075760454386,126.79718461844062
41410,Gunpo-si,군포시,37.33864510273172,126.93043560214309
41430,Uiwang-si,의왕시,37.35973635723313,126.97455216110347
41450,Hanam-si,하남시,37.51334672749815,127.18851589633546
41461,"Cheoin-gu, Yongin-si",용인시처인구,37.19920680859311,127.2476450030659
41463,"Giheung-gu, Yongin-si",용인시기흥구,37.25358904656581,127.10310637593565
41465,"Suji-gu, Yongin-si",용인시수지구,37.338442706756716,127.07668640808829
41480,Paju-si,파주시,37.85425275159182,126.80876223755911
41500,Icheon-si,이천시,37.18759449655433,127.51259495306348
41550,Anseong-si,안성시,37.03405211042147,127.26991323766946
41570,Gimpo-si,김포시,37.58771022421251,126.57484710666779
41590,Hwaseong-si,화성시,37.17746464579656,126.79448070567163
41610,Gwangju-si,광주시,37.399818436063306,127.27073773257902
41630,Yangju-si,양주시,37.807490422146984,126.9966147706023
41650,Pocheon-si,포천시,37.98324176327752,127.23338241611697
41670,Yeoju-si,여주시,37.30022286988881,127.58281856423694
41820,Gapyeong-gun,가평군,37.77441231733147,127.42609038421043
41830,Yangpyeong-gun,양평군,37.50681365415936,127.57115180035353
42110,Chuncheon-si,춘천시,37.889212796070716,127.753022551711
42130,Wonju-si,원주시,37.32229518283057,127.94594940802746
42150,Gangneung-si,강릉시,37.649013356460515,129.04907878476334
42170,Donghae-si,동해시,37.520365403368615,129.08810541265566
42190,Taebaek-si,태백시,37.18835638089361,128.97509197535825
42210,Sokcho-si,속초시,38.19809952929838,128.6136887793504
42720,Hongcheon-gun,홍천군,37.73716461158632,128.01636907739066
42730,Hoengseong-gun,횡성군,37.48142836018693,128.0222302367862
42750,Yeongwol-gun,영월군,37.18897276486502,128.4784777841537
42760,Pyeongchang-gun,평창군,37.53941607164756,128.4919529276876
42770,Jeongseon-gun,정선군,37.39312913469989,128.76587380776232
42780,Cheorwon-gun,철원군,38.28406851538198,127.32419192573194
42790,Hwacheon-gun,화천군,38.109046916782944,127.6903872530548
42800,Yanggu-gun,양구군,38.29107632848019,128.02978772962481
42810,Inje-gun,인제군,38.05740225738674,128.25735962073657
42820,Goseong-gun,고성군,38.426671271529344,128.40721887135635
42830,Yangyang-gun,양양군,38.004554524015816,128.63921500563004
43111,"Sangdang-gu, Cheongju-si",청주시 상당구,36.57977019037993,127.57471408706499
43112,"Seowon-gu, Cheongju-si",청주시 서원구,36.56313180768423,127.439166758465
43113,"Heungdeok-gu, Cheongju-si",청주시 흥덕구,36.64208522620812,127.37130196631648
43114,"Cheongwon-gu, Cheongju-si",청주시 청원구,36.72934173411295,127.45324344408405
43130,Chungju-si,충주시,37.00829562482896,127.84884084915491
43150,Jecheon-si,제천시,37.07673221732945,128.17895371059245
43720,Boeun-gun,보은군,36.46297969673938,127.70724968636048
43730,Okcheon-gun,옥천군,36.32118454526328,127.6570964211093
43740,Yeongdong-gun,영동군,36.163725372368724,127.80256358677632
43745,Jeungpyeong-gun,증평군,36.79202744079906,127.60925455829076
43750,Jincheon-gun,진천군,36.88172967843385,127.45934080513456
43760,Goesan-gun,괴산군,36.77245165579179,127.81157931946443
43770,Eumseong-gun,음성군,36.986209359585715,127.60195681668652
43800,Danyang-gun,단양군,37.0209866826251,128.39367672989616
44131,"Dongnam-gu, Cheonan-si",천안시동남구,36.75053191976516,127.22112403211288
44133,"Seobuk-gu, Cheonan-si",천안시서북구,36.89843912236879,127.14663232435589
44150,Gongju-si,공주시,36.45023700265208,127.06869949769603
44180,Boryeong-si,보령시,36.201218229354495,126.08943068366418
44200,Asan-si,아산시,36.820660304099505,126.99995200894699
44210,Seosan-si,서산시,36.60364710753735,126.41120247258951
44230,Nonsan-si,논산시,36.20123228572058,127.1184497975865
44250,Gyeryong-si,계룡시,36.27768776207674,127.24198635145568
44710,Geumsan-gun,금산군,36.122281269934604,127.49364549564756
44760,Buyeo-gun,부여군,36.23919319237592,126.91023665119661
44770,Seocheon-gun,서천군,35.994648857280474,126.60289451638704
44790,Cheongyang-gun,청양군,36.4344314094442,126.87518099515172
44810,Yesan-gun,예산군,36.67874654363302,126.77665153269521
44825,Taean-gun,태안군,36.78315254987625,126.2461371031792
45111,"Wansan-gu, Jeonju-si",전주시완산구,35.79607838004897,127.10984626401704
45113,"Deokjin-gu, Jeonju-si",전주시덕진구,35.85380646423297,127.10099199536184
45130,Gunsan-si,군산시,35.67103129207256,126.49648978846481
45140,Iksan-si,익산시,35.98378939278739,126.96065246548386
45180,Jeongeup-si,정읍시,35.58379381394734,126.86378300335134
45190,Namwon-si,남원시,35.44796385262721,127.41618974004147
45210,Gimje-si,김제시,35.782405107552066,126.49802444555552
45710,Wanju-gun,완주군,35.83347555464716,127.03412915263921
45720,Jinan-gun,진안군,35.82289177719572,127.45347142728748
45730,Muju-gun,무주군,35.95933887642294,127.69137064292286
45740,Jangsu-gun,장수군,35.653943522672606,127.52290085546664
45750,Imsil-gun,임실군,35.60163416865352,127.2545769794309
45770,Sunchang-gun,순창군,35.42973439144475,127.08031064355859
45790,Gochang-gun,고창군,35.448123895665375,126.42716780084865
45800,Buan-gun,부안군,35.55885582237779,126.35659203434865
